%time,position1,effort1,position2,effort2
0,-1.72845794694,0,-12.5231144006,0
0.001,-1.72845794696,0,-12.5231144006,0
0.002,-1.72845794698,0,-12.5231144005,0
0.003,-1.728457947,0,-12.5231144004,0
0.004,-1.72845794702,0,-12.5231144004,0
0.005,-1.72845794704,0,-12.5231144003,0
0.006,-1.72845794706,0,-12.5231144003,0
0.007,-1.72845794708,0,-12.5231144002,0
0.008,-1.7284579471,0,-12.5231144002,0
0.009,-1.72845794712,0,-12.5231144001,0
0.01,-1.72845794714,0,-12.5231144,0
0.011,-1.72845794716,0,-12.5231144,0
0.012,-1.72845794718,0,-12.5231143999,0
0.013,-1.7284579472,0,-12.5231143999,0
0.014,-1.72845794722,0,-12.5231143998,0
0.015,-1.72845794724,0,-12.5231143998,0
0.016,-1.72845794726,0,-12.5231143997,0
0.017,-1.72845794728,0,-12.5231143996,0
0.018,-1.72845794731,0,-12.5231143996,0
0.019,-1.72845794733,0,-12.5231143995,0
0.02,-1.72845794735,0,-12.5231143995,0
0.021,-1.72845794737,0,-12.5231143994,0
0.022,-1.72845794739,0,-12.5231143993,0
0.023,-1.72845794741,0,-12.5231143993,0
0.024,-1.72845794743,0,-12.5231143992,0
0.025,-1.72845794745,0,-12.5231143992,0
0.026,-1.72845794747,0,-12.5231143991,0
0.027,-1.72845794749,0,-12.5231143991,0
0.028,-1.72845794751,0,-12.523114399,0
0.029,-1.72845794753,0,-12.5231143989,0
0.03,-1.72845794755,0,-12.5231143989,0
0.031,-1.72845794757,0,-12.5231143988,0
0.032,-1.72845794759,0,-12.5231143988,0
0.033,-1.72845794761,0,-12.5231143987,0
0.034,-1.72845794763,0,-12.5231143987,0
0.035,-1.72845794765,0,-12.5231143986,0
0.036,-1.72845794767,0,-12.5231143985,0
0.037,-1.72845794769,0,-12.5231143985,0
0.038,-1.72845794771,0,-12.5231143984,0
0.039,-1.72845794773,0,-12.5231143984,0
0.04,-1.72845794775,0,-12.5231143983,0
0.041,-1.72845794777,0,-12.5231143983,0
0.042,-1.72845794779,0,-12.5231143982,0
0.043,-1.72845794781,0,-12.5231143981,0
