%time,position1,effort1,position2,effort2
0,-1.59051064721,0,-0.058721181879,0
0.001,-1.59027852973,0,-0.0585940089154,0
0.002,-1.590046009,0,-0.058465695254,0
0.003,-1.58981309273,0,-0.0583362392849,0
0.004,-1.58957978866,0,-0.0582056394499,0
0.005,-1.58934610451,0,-0.0580738942434,0
0.006,-1.58911204799,0,-0.0579410022123,0
0.007,-1.58887762685,0,-0.0578069619565,0
0.008,-1.58864284879,0,-0.0576717721291,0
0.009,-1.58840772154,0,-0.0575354314368,0
0.01,-1.58817225282,0,-0.0573979386397,0
0.011,-1.58793645035,0,-0.0572592925524,0
0.012,-1.58770032184,0,-0.0571194920435,0
0.013,-1.58722711756,0,-0.0568364235089,0
0.014,-1.58699005721,0,-0.0566931534944,0
0.015,-1.58675270166,0,-0.0565487250813,0
0.016,-1.58651505861,0,-0.0564031374138,0
0.017,-1.58627713576,0,-0.0562563896917,0
0.018,-1.5860389408,0,-0.0561084811711,0
0.019,-1.58580048143,0,-0.0559594111641,0
0.02,-1.58556176532,0,-0.0558091790396,0
0.021,-1.58532280016,0,-0.0556577842232,0
0.022,-1.58508359362,0,-0.0555052261974,0
0.023,-1.58484415337,0,-0.0553515045019,0
0.024,-1.58460448707,0,-0.0551966187339,0
0.025,-1.58436460239,0,-0.0550405685481,0
0.026,-1.58412450697,0,-0.0548833536573,0
0.027,-1.58388420846,0,-0.0547249738319,0
0.028,-1.58364371449,0,-0.0545654289009,0
0.029,-1.5834030327,0,-0.0544047187516,0
0.03,-1.58316217071,0,-0.0542428433298,0
0.031,-1.58292113613,0,-0.0540798026402,0
0.032,-1.58267993658,0,-0.0539155967465,0
0.033,-1.58243857966,0,-0.0537502257716,0
0.034,-1.58219707295,0,-0.0535836898975,0
0.035,-1.58195542404,0,-0.053415989366,0
0.036,-1.58171364051,0,-0.0532471244783,0
0.037,-1.58147172991,0,-0.0530770955955,0
0.038,-1.58122969981,0,-0.0529059031386,0
0.039,-1.58098755775,0,-0.052733547589,0
0.04,-1.58074531127,0,-0.0525600294881,0
0.041,-1.58050296789,0,-0.0523853494377,0
0.042,-1.58026053513,0,-0.0522095081004,0
0.043,-1.58001802049,0,-0.0520325061991,0
0.044,-1.57977543147,0,-0.0518543445179,0
0.045,-1.57953277555,0,-0.0516750239015,0
0.046,-1.5792900602,0,-0.0514945452559,0
0.047,-1.57904729288,0,-0.0513129095482,0
0.048,-1.57880448104,0,-0.0511301178068,0
0.049,-1.57856163211,0,-0.0509461711213,0
0.05,-1.57831875353,0,-0.0507610706431,0
0.051,-1.57807585268,0,-0.050574817585,0
0.052,-1.57783293699,0,-0.0503874132215,0
0.053,-1.57759001382,-0.204917922616,-0.0501988588889,0
0.054,-1.57734709056,-0.204917922616,-0.0500091559854,0
0.055,-1.57710417455,-0.204917922616,-0.049818305971,0
0.056,-1.57686127315,-0.204917922616,-0.049626310368,0
0.057,-1.57661839368,-0.204917922616,-0.0494331707605,0
0.058,-1.57637554346,-0.204917922616,-0.0492388887949,0
0.059,-1.57613272978,-0.204917922616,-0.0490434661798,0
0.06,-1.57588995994,-0.204917922616,-0.048846904686,0
0.061,-1.57564724121,-0.204917922616,-0.0486492061469,0
0.062,-1.57540458084,-0.204917922616,-0.0484503724579,0
0.063,-1.57516198607,-0.204917922616,-0.0482504055771,0
0.064,-1.57491946413,-0.204917922616,-0.0480493075251,0
0.065,-1.57467702223,-0.204917922616,-0.0478470803848,0
0.066,-1.57443466756,-0.204917922616,-0.0476437263018,0
0.067,-1.57419240729,-0.204917922616,-0.0474392474842,0
0.068,-1.57395024859,-0.204917922616,-0.0472336462028,0
0.069,-1.5737081986,-0.204917922616,-0.0470269247909,0
0.07,-1.57346626444,-0.204917922616,-0.0468190856445,0
0.071,-1.57322445324,-0.204917922616,-0.0466101312223,0
0.072,-1.57298277207,-0.204917922616,-0.0464000640454,0
0.073,-1.57274122801,-0.204917922616,-0.0461888866977,0
0.074,-1.57249982812,0,-0.045976601826,0
0.075,-1.57225857944,0,-0.0457632121394,0
0.076,-1.57201748898,0,-0.0455487204096,0
0.077,-1.57177656376,0,-0.0453331294713,0
0.078,-1.57153581075,0,-0.0451164422214,0
0.079,-1.57129523691,0,-0.0448986616196,0
0.08,-1.5710548492,0,-0.044679790688,0
0.081,-1.57081465454,0,-0.0444598325114,0
0.082,-1.57057465983,0,-0.0442387902369,0
0.083,-1.57033487197,0,-0.044016667074,0
0.084,-1.57009529782,0,-0.0437934662948,0
0.085,-1.56985594422,0,-0.0435691912337,0
0.086,-1.56961681802,0,-0.0433438452871,0
0.087,-1.569377926,0,-0.043117431914,0
0.088,-1.56913927496,0,-0.0428899546354,0
0.089,-1.56890087167,0,-0.0426614170342,0
0.09,-1.56866272287,0,-0.0424318227558,0
0.091,-1.56842483528,0,-0.0422011755071,0
0.092,-1.5681872156,0,-0.0419694790571,0
0.093,-1.56794987052,0,-0.0417367372365,0
0.094,-1.5677128067,0,-0.0415029539378,0
0.095,-1.56747603077,0,-0.041268133115,0
0.096,-1.56723954935,0,-0.0410322787836,0
0.097,-1.56700336902,0,-0.0407953950207,0
0.098,-1.56676749637,0,-0.0405574859644,0
0.099,-1.56653193794,0,-0.0403185558143,0
0.1,-1.56629670026,0,-0.0400786088308,0
0.101,-1.56606178983,0,-0.0398376493356,0
0.102,-1.56582721312,0,-0.039595681711,0
0.103,-1.5655929766,0,-0.0393527104001,0
0.104,-1.5653590867,0,-0.0391087399064,0
0.105,-1.56512554982,0,-0.0388637747943,0
0.106,-1.56489237236,0,-0.038617819688,0
0.107,-1.56465956068,0,-0.0383708792723,0
0.108,-1.56442712111,0,-0.0381229582918,0
0.109,-1.56419505997,0,-0.0378740615511,0
0.11,-1.56396338355,0,-0.0376241939144,0
0.111,-1.56373209811,0,-0.0373733603055,0
0.112,-1.5635012099,0,-0.0371215657078,0
0.113,-1.56327072513,0,-0.0368688151637,0
0.114,-1.56304064999,0,-0.0366151137748,0
0.115,-1.56281099065,0.096715927124,-0.0363604667015,0
0.116,-1.56258175325,0.096715927124,-0.0361048791632,0
0.117,-1.5623529439,0.096715927124,-0.0358483564374,0
0.118,-1.56212453259,0.096715927124,-0.0355909734742,0
0.119,-1.56189652545,0.096715927124,-0.0353327354211,0
0.12,-1.5616689286,0.096715927124,-0.0350736474792,0
0.121,-1.56144174814,5.39133024216,-0.0348137149033,0
0.122,-1.56121499013,5.39133024216,-0.0345529430011,0
0.123,-1.56098866063,5.39133024216,-0.0342913371339,0
0.124,-1.56076078859,5.39133024216,-0.0340327138641,0
0.125,-1.56053138423,5.39133024216,-0.0337770651459,0
0.126,-1.56030045785,5.39133024216,-0.0335243827512,0
0.127,-1.56006801983,5.39133024216,-0.0332746582677,0
0.128,-1.55983408061,5.39133024216,-0.0330278831011,0
0.129,-1.55959865072,10.7931060791,-0.0327840484765,0
0.13,-1.55936174075,10.7931060791,-0.0325431454398,0
0.131,-1.55912336139,10.7931060791,-0.0323051648599,0
0.132,-1.55888352337,10.7931060791,-0.0320700974292,0
0.133,-1.55864022037,18.0332756042,-0.0318418222347,0
0.134,-1.5583934676,18.0332756042,-0.0316203158246,0
0.135,-1.55814328043,18.0332756042,-0.0314055543339,0
0.136,-1.55788697074,18.0332756042,-0.0312027255644,0
0.137,-1.55762456005,18.0332756042,-0.0310117863268,0
0.138,-1.55735607018,18.0332756042,-0.0308326926998,0
0.139,-1.55708152326,18.0332756042,-0.0306654000317,0
0.14,-1.55680094173,18.0332756042,-0.0305098629474,0
0.141,-1.55651434834,24.2996273041,-0.0303660353541,0
0.142,-1.55622176616,24.2996273041,-0.030233870447,0
0.143,-1.55592321852,24.2996273041,-0.030113320716,0
0.144,-1.55561638903,24.2996273041,-0.0300088491718,0
0.145,-1.55530130664,24.2996273041,-0.0299203908661,0
0.146,-1.55497800075,24.2996273041,-0.0298478798775,0
0.147,-1.55464650115,24.2996273041,-0.0297912493166,0
0.148,-1.55430683806,24.2996273041,-0.0297504313346,0
0.149,-1.55395904211,24.2996273041,-0.0297253571317,0
0.15,-1.55360314431,30,-0.0297159569649,0
0.151,-1.55323968006,30,-0.0297203039963,0
0.152,-1.5528686794,30,-0.0297383326972,0
0.153,-1.55248804402,30,-0.0297740805299,0
0.154,-1.55209780927,30,-0.0298274657011,0
0.155,-1.55169801096,30,-0.0298984053515,0
0.156,-1.55128868539,30,-0.0299868155629,0
0.157,-1.55086986931,30,-0.030092611368,0
0.158,-1.55044159992,30,-0.0302157067588,0
0.159,-1.55000391491,30,-0.0303560146966,0
0.16,-1.54955685239,30,-0.0305134471209,0
0.161,-1.54910045094,30,-0.0306879149586,0
0.162,-1.5486347496,30,-0.0308793281332,0
0.163,-1.54815978782,30,-0.0310875955743,0
0.164,-1.54767560551,30,-0.0313126252268,0
0.165,-1.54718224304,30,-0.03155432406,0
0.166,-1.54667974116,30,-0.0318125980772,0
0.167,-1.54616814111,30,-0.032087352325,0
0.168,-1.54564748451,30,-0.0323784909028,0
0.169,-1.54511781342,30,-0.0326859169717,0
0.17,-1.54457917034,30,-0.0330095327646,0
0.171,-1.54403159816,30,-0.0333492395952,0
0.172,-1.54347514018,30,-0.0337049378674,0
0.173,-1.54290984014,30,-0.0340765270852,0
0.174,-1.54233574215,30,-0.0344639058619,0
0.175,-1.54175289074,30,-0.0348669719297,0
0.176,-1.54116133085,30,-0.0352856221492,0
0.177,-1.54056110779,30,-0.0357197525193,0
0.178,-1.53995226728,30,-0.0361692581863,0
0.179,-1.53933485542,30,-0.0366340334542,0
0.18,-1.53870891869,30,-0.0371139717937,0
0.181,-1.53807450396,30,-0.0376089658524,0
0.182,-1.53743165848,30,-0.0381189074645,0
0.183,-1.53678042985,30,-0.0386436876604,0
0.184,-1.53612086607,30,-0.0391831966763,0
0.185,-1.53545301548,30,-0.0397373239648,0
0.186,-1.53477692679,30,-0.0403059582041,0
0.187,-1.53409264909,30,-0.040888987308,0
0.188,-1.53340023179,30,-0.0414862984361,0
0.189,-1.53269972466,30,-0.0420977780039,0
0.19,-1.53199117784,30,-0.0427233116922,0
0.191,-1.53127464178,30,-0.0433627844579,0
0.192,-1.5305501673,30,-0.0440160805435,0
0.193,-1.52981780553,30,-0.0446830834879,0
0.194,-1.52907760794,30,-0.0453636761359,0
0.195,-1.52832962633,30,-0.0460577406489,0
0.196,-1.52757391284,30,-0.0467651585149,0
0.197,-1.52681051989,30,-0.047485810559,0
0.198,-1.52603950025,30,-0.0482195769538,0
0.199,-1.52526090699,30,-0.0489663372295,0
0.2,-1.52447479349,30,-0.0497259702845,0
0.201,-1.52368121343,30,-0.050498354396,0
0.202,-1.5228802208,30,-0.0512833672304,0
0.203,-1.52207186987,30,-0.0520808858537,0
0.204,-1.52125621522,30,-0.0528907867426,0
0.205,-1.52043331171,30,-0.0537129457945,0
0.206,-1.51960321447,30,-0.0545472383388,0
0.207,-1.51876597894,30,-0.0553935391472,0
0.208,-1.51792166081,30,-0.0562517224448,0
0.209,-1.51707031605,30,-0.0571216619205,0
0.21,-1.51621200091,30,-0.0580032307385,0
0.211,-1.51534677188,30,-0.0588963015487,0
0.212,-1.51447468572,30,-0.0598007464976,0
0.213,-1.51359579947,30,-0.0607164372397,0
0.214,-1.51271017037,30,-0.0616432449484,0
0.215,-1.51181785595,30,-0.0625810403268,0
0.216,-1.51091891397,30,-0.0635296936192,0
0.217,-1.51001340243,30,-0.0644890746218,0
0.218,-1.50910137954,30,-0.0654590526946,0
0.219,-1.50818290378,30,-0.0664394967718,0
0.22,-1.50725803384,30,-0.0674302753737,0
0.221,-1.50632682861,30,-0.0684312566177,0
0.222,-1.50538934724,30,-0.0694423082299,0
0.223,-1.50444564904,30,-0.0704632975562,0
0.224,-1.50349579359,30,-0.0714940915738,0
0.225,-1.50253984062,30,-0.0725345569027,0
0.226,-1.50157785009,30,-0.0735845598175,0
0.227,-1.50060988215,30,-0.0746439662581,-0.418200701475
0.228,-1.49963599713,30,-0.0757126418423,-0.418200701475
0.229,-1.49865625558,30,-0.0767904518764,-0.418200701475
0.23,-1.49767041786,30,-0.0778783681567,-0.418200701475
0.231,-1.49667854598,30,-0.0789762516341,-0.418200701475
0.232,-1.49568070212,30,-0.0800839629229,-0.418200701475
0.233,-1.49467694867,30,-0.0812013623112,-0.418200701475
0.234,-1.49366734818,30,-0.0823283097732,-0.418200701475
0.235,-1.49265196341,30,-0.083464664981,-0.74280667305
0.236,-1.49163085727,30,-0.0846102873166,-0.74280667305
0.237,-1.49060409285,30,-0.0857650358844,-0.74280667305
0.238,-1.48957150047,30,-0.0869296281281,-0.74280667305
0.239,-1.48853314441,30,-0.0881039196883,-0.74280667305
0.24,-1.48748908914,30,-0.0892877659171,-0.74280667305
