%time,position1,effort1,position2,effort2
0,-1.40007509017,0,-0.0803255752961,0
0.001,-1.40007509017,0,-0.0803255753427,0
0.002,-1.40007509016,0,-0.0803255753893,0
0.003,-1.40007509015,0,-0.0803255754359,0
0.004,-1.40007509014,0,-0.0803255754825,0
0.005,-1.40007509014,0,-0.0803255755291,0
0.006,-1.40007509013,0,-0.0803255755757,0
0.007,-1.40007509012,0,-0.0803255756223,0
0.008,-1.40007509011,0,-0.0803255756689,0
0.009,-1.40007509011,0,-0.0803255757155,0
0.01,-1.4000750901,0,-0.0803255757621,0
0.011,-1.40007509009,0,-0.0803255758087,0
0.012,-1.40007509008,0,-0.0803255758553,0
0.013,-1.40007509008,0,-0.0803255759019,0
0.014,-1.40007509007,0,-0.0803255759485,0
0.015,-1.40007509006,0,-0.0803255759951,0
0.016,-1.40007509005,0,-0.0803255760417,0
0.017,-1.40007509005,0,-0.0803255760883,0
0.018,-1.40007509004,0,-0.0803255761349,0
0.019,-1.40007509003,0,-0.0803255761815,0
0.02,-1.40007509002,0,-0.0803255762281,0
0.021,-1.40007509002,0,-0.0803255762747,0
0.022,-1.40007509001,0,-0.0803255763213,0
0.023,-1.40007509,0,-0.0803255763679,0
0.024,-1.40007508999,0,-0.0803255764145,0
0.025,-1.40007508998,0,-0.080325576461,0
0.026,-1.40007508998,0,-0.0803255765076,0
0.027,-1.40007508997,0,-0.0803255765542,0
0.028,-1.40007508996,0,-0.0803255766008,0
0.029,-1.40007508995,0,-0.0803255766474,0
0.03,-1.40007508995,0,-0.080325576694,0
0.031,-1.40007508994,0,-0.0803255767406,0
0.032,-1.40007508993,0,-0.0803255767872,0
0.033,-1.40007508992,0,-0.0803255768338,0
0.034,-1.40007508992,0,-0.0803255768804,0
0.035,-1.40007508991,0,-0.080325576927,0
0.036,-1.4000750899,0,-0.0803255769736,0
0.037,-1.40007508989,0,-0.0803255770202,0
0.038,-1.40007508989,0,-0.0803255770668,0
0.039,-1.40007508988,0,-0.0803255771134,0
0.04,-1.40007508987,0,-0.08032557716,0
0.041,-1.40007508986,0,-0.0803255772066,0
0.042,-1.40007508986,0,-0.0803255772532,0
0.043,-1.40007508985,0,-0.0803255772998,0
