%time,Position1,Effort1,Position2,Effort2
0,-1.56520177224,0,-0.00187946940946,0
0.001,-1.56520177224,0,-0.00187946941166,0
0.002,-1.56520177223,0,-0.00187946941386,0
0.003,-1.56520177223,0,-0.00187946941606,0
0.004,-1.56520177223,0,-0.00187946941826,0
0.005,-1.56520177223,0,-0.00187946942046,0
0.006,-1.56520177223,0,-0.00187946942266,0
0.007,-1.56520177223,0,-0.00187946942486,0
0.008,-1.56520177223,0,-0.00187946942706,0
0.009,-1.56520177223,0,-0.00187946942926,0
0.01,-1.56520177223,0,-0.00187946943146,0
0.011,-1.56520177223,0,-0.00187946943366,0
0.012,-1.56520177223,0,-0.00187946943586,0
0.013,-1.56520177223,0,-0.00187946943806,0
0.014,-1.56520177223,0,-0.00187946944027,0
0.015,-1.56520177222,0,-0.00187946944246,0
0.016,-1.56520177222,0,-0.00187946944467,0
0.017,-1.56520177222,0,-0.00187946944687,0
0.018,-1.56520177222,0,-0.00187946944907,0
0.019,-1.56520177222,0,-0.00187946945127,0
0.02,-1.56520177222,0,-0.00187946945347,0
0.021,-1.56520177222,0,-0.00187946945567,0
0.022,-1.56520177222,0,-0.00187946945787,0
0.023,-1.56520177222,0,-0.00187946946007,0
0.024,-1.56520177222,0,-0.00187946946227,0
0.025,-1.56520177222,0,-0.00187946946447,0
0.026,-1.56520177222,0,-0.00187946946667,0
0.027,-1.56520177222,0,-0.00187946946887,0
0.028,-1.56520177221,0,-0.00187946947107,0
0.029,-1.56520177221,0,-0.00187946947327,0
0.03,-1.56520177221,0,-0.00187946947547,0
0.031,-1.56520177221,0,-0.00187946947767,0
0.032,-1.56520177221,0,-0.00187946947987,0
0.033,-1.56520177221,0,-0.00187946948207,0
0.034,-1.56520177221,0,-0.00187946948427,0
0.035,-1.56520177221,0,-0.00187946948647,0
0.036,-1.56520177221,0,-0.00187946948867,0
0.037,-1.56520177221,0,-0.00187946949087,0
0.038,-1.56520177221,0,-0.00187946949307,0
0.039,-1.56520177221,0,-0.00187946949527,0
0.04,-1.56520177221,0,-0.00187946949747,0
0.041,-1.5652017722,0,-0.00187946949967,0
0.042,-1.5652017722,0,-0.00187946950187,0
0.043,-1.5652017722,0,-0.00187946950407,0
0.044,-1.5652017722,0,-0.00187946950627,0
0.045,-1.5652017722,0,-0.00187946950847,0
0.046,-1.5652017722,0,-0.00187946951067,0
0.047,-1.5652017722,0,-0.00187946951287,0
0.048,-1.5652017722,0,-0.00187946951507,0
0.049,-1.5652017722,0,-0.00187946951727,0
0.05,-1.5652017722,0,-0.00187946951947,0
0.051,-1.5652017722,0,-0.00187946952167,0
0.052,-1.5652017722,0,-0.00187946952388,0
0.053,-1.5652017722,0,-0.00187946952608,0
0.054,-1.56520177219,0,-0.00187946952827,0
0.055,-1.56520177219,0,-0.00187946953048,0
0.056,-1.56520177219,0,-0.00187946953268,0
0.057,-1.56520177219,0,-0.00187946953488,0
0.058,-1.56520177219,0,-0.00187946953708,0
0.059,-1.56520177219,0,-0.00187946953928,0
0.06,-1.56520177219,0,-0.00187946954368,0
0.061,-1.56520177219,0,-0.00187946954588,0
0.062,-1.56520177219,0,-0.00187946954808,0
0.063,-1.56520177219,0,-0.00187946955028,0
0.064,-1.56520177219,0,-0.00187946955248,0
0.065,-1.56520177219,0,-0.00187946955468,0
0.066,-1.56520177218,0,-0.00187946955688,0
0.067,-1.56520177218,0,-0.00187946955908,0
0.068,-1.56520177218,0,-0.00187946956128,0
0.069,-1.56520177218,0,-0.00187946956348,0
0.07,-1.56520177218,0,-0.00187946956568,0
0.071,-1.56520177218,0,-0.00187946956788,0
0.072,-1.56520177218,0,-0.00187946957008,0
0.073,-1.56520177218,0,-0.00187946957228,0
0.074,-1.56520177218,0,-0.00187946957448,0
0.075,-1.56520177218,0,-0.00187946957668,0
0.076,-1.56520177218,0,-0.00187946957888,0
0.077,-1.56520177218,0,-0.00187946958108,0
0.078,-1.56520177218,0,-0.00187946958328,0
0.079,-1.56520177217,0,-0.00187946958548,0
0.08,-1.56520177217,0,-0.00187946958768,0
0.081,-1.56520177217,0,-0.00187946958988,0
0.082,-1.56520177217,0,-0.00187946959208,0
0.083,-1.56520177217,0,-0.00187946959428,0
0.084,-1.56520177217,0,-0.00187946959648,0
0.085,-1.56520177217,0,-0.00187946959869,0
0.086,-1.56520177217,0,-0.00187946960089,0
0.087,-1.56520177217,0,-0.00187946960308,0
0.088,-1.56520177217,0,-0.00187946960529,0
0.089,-1.56520177217,0,-0.00187946960749,0
0.09,-1.56520177217,0,-0.00187946960969,0
0.091,-1.56520177217,0,-0.00187946961189,0
0.092,-1.56520177216,0,-0.00187946961409,0
0.093,-1.56520177216,0,-0.00187946961629,0
0.094,-1.56520177216,0,-0.00187946961849,0
0.095,-1.56520177216,0,-0.00187946962069,0
0.096,-1.56520177216,0,-0.00187946962289,0
0.097,-1.56520177216,0,-0.00187946962509,0
0.098,-1.56520177216,0,-0.00187946962729,0
0.099,-1.56520177216,0,-0.00187946962949,0
0.1,-1.56520177216,0,-0.00187946963169,0
0.101,-1.56520177216,0,-0.00187946963389,0
0.102,-1.56520177216,0,-0.00187946963609,0
0.103,-1.56520177216,0,-0.00187946963829,0
0.104,-1.56520177216,0,-0.00187946964049,0
