%time,Position1,Effort1,Position,2,Effort2
0,-1.56520175829,0,-0.00187950928725,0,
0.001,-1.56520175828,0,-0.00187950928945,0,
0.002,-1.56520175828,0,-0.00187950929165,0,
0.003,-1.56520175828,0,-0.00187950929385,0,
0.004,-1.56520175828,0,-0.00187950929825,0,
0.005,-1.56520175828,0,-0.00187950930045,0,
0.006,-1.56520175828,0,-0.00187950930265,0,
0.007,-1.56520175828,0,-0.00187950930485,0,
0.008,-1.56520175828,0,-0.00187950930705,0,
0.009,-1.56520175828,0,-0.00187950930925,0,
0.01,-1.56520175828,0,-0.00187950931145,0,
0.011,-1.56520175828,0,-0.00187950931365,0,
0.012,-1.56520175828,0,-0.00187950931585,0,
0.013,-1.56520175827,0,-0.00187950931806,0,
0.014,-1.56520175827,0,-0.00187950932025,0,
0.015,-1.56520175827,0,-0.00187950932245,0,
0.016,-1.56520175827,0,-0.00187950932466,0,
0.017,-1.56520175827,0,-0.00187950932686,0,
0.018,-1.56520175827,0,-0.00187950932905,0,
0.019,-1.56520175827,0,-0.00187950933126,0,
0.02,-1.56520175827,0,-0.00187950933346,0,
0.021,-1.56520175827,0,-0.00187950933566,0,
0.022,-1.56520175827,0,-0.00187950933786,0,
0.023,-1.56520175827,0,-0.00187950934006,0,
0.024,-1.56520175827,0,-0.00187950934226,0,
0.025,-1.56520175827,0,-0.00187950934446,0,
0.026,-1.56520175826,0,-0.00187950934666,0,
0.027,-1.56520175826,0,-0.00187950934886,0,
0.028,-1.56520175826,0,-0.00187950935106,0,
0.029,-1.56520175826,0,-0.00187950935326,0,
0.03,-1.56520175826,0,-0.00187950935546,0,
0.031,-1.56520175826,0,-0.00187950935766,0,
0.032,-1.56520175826,0,-0.00187950935986,0,
0.033,-1.56520175826,0,-0.00187950936206,0,
0.034,-1.56520175826,0,-0.00187950936426,0,
0.035,-1.56520175826,0,-0.00187950936646,0,
0.036,-1.56520175826,0,-0.00187950936866,0,
0.037,-1.56520175826,0,-0.00187950937086,0,
0.038,-1.56520175826,0,-0.00187950937306,0,
0.039,-1.56520175825,0,-0.00187950937526,0,
0.04,-1.56520175825,0,-0.00187950937746,0,
0.041,-1.56520175825,0,-0.00187950937966,0,
0.042,-1.56520175825,0,-0.00187950938186,0,
0.043,-1.56520175825,0,-0.00187950938406,0,
0.044,-1.56520175825,0,-0.00187950938626,0,
0.045,-1.56520175825,0,-0.00187950938846,0,
0.046,-1.56520175825,0,-0.00187950939066,0,
0.047,-1.56520175825,0,-0.00187950939286,0,
0.048,-1.56520175825,0,-0.00187950939506,0,
0.049,-1.56520175825,0,-0.00187950939726,0,
0.05,-1.56520175825,0,-0.00187950939946,0,
0.051,-1.56520175825,0,-0.00187950940166,0,
0.052,-1.56520175824,0,-0.00187950940386,0,
0.053,-1.56520175824,0,-0.00187950940606,0,
0.054,-1.56520175824,0,-0.00187950940827,0,
0.055,-1.56520175824,0,-0.00187950941046,0,
0.056,-1.56520175824,0,-0.00187950941267,0,
0.057,-1.56520175824,0,-0.00187950941486,0,
0.058,-1.56520175824,0,-0.00187950941707,0,
0.059,-1.56520175824,0,-0.00187950941927,0,
0.06,-1.56520175824,0,-0.00187950942147,0,
